cod_ter,cod_verificacion,nombre,sector_empresarial,ciudad,tamano,antiguedad,enfoque_social,tipo_vinculo_con_ACF,nombre_contacto,cargo,referido_por,fecha_ultimo_contacto,celular,telefono,extension,telefono_2,mail,beneficio_generado,dona_otras_causas,capital_social,ventas,
805015509,,Fund. Los Valles,,Bogotá,Pequeña,20,,,,,,,,3166393860,,,,,,,,
811007767,,Corp. Para al Educación,,Bogotá,Mediana,,Educación ,,,,,,,2686034,,,,,,,Entre 5.000 y 10.000 millones COP,
811036316,,EL CIelo SAS,,Bogotá,Pequeña,,,,,,,,,,,,,,,,Entre 10.000 y 20.000 millones COP,
830020495,,Cumbrera,Construcción,Bogotá,Mediana,,No definido,No vinculo solo referido,Liliana Vargas,Gerente Recursos Humanos,Nubia R.,19/12/2020,,,,742 7202,administracion@cumbrera.com.co,,,,,
830023947,1,Casa de Encuentros San Pedro Claver,Sin animo de Lucro,Bogotá,Pequeña,,,No vinculo solo referido,Hermana Torcoroma Blanco,,Nubia Rivera,No,,2539234,,6242507,cespel2002@yahoo.com,,,,,
830037946,,Panamericana,,Bogotá,Grande,,,No vinculo solo referido,Fernando Rojas Acosta,Gerente General,Lucy,,,,,3649333,fernando.rojas@panamericana.com.co,,,,,
830038274,,Promotora ALTHEA,,Bogotá,Mediana,,Actividades de otras asociaciones n c p,,,,,,,2573513,,,,,,,Entre 1.000 y 2.000 millones COP,
830048283,,Asosiación Padres Colegio Cerros,,Bogotá,Pequeña,,,,,,,,,2150111,,,,,,,,
830070904,,Turivans SAS,,Bogotá,Pequeña,,Transporte de pasajeros,,,,,,,6704325,,(1)6772964,,,,,,
830079015,1,Meltec,,Bogotá,Mediana,,,No vinculo solo referido,Adriana Correa,Gerente General,Lucy,,,,,411-1899,acorrea@meltec.com.co,,,,Entre 1.000 y 2.000 millones COP,
830093411,,Clinica DDS,,Bogotá,Mediana,,,Comprador articulo,Dra Marcela,Director,Nubia,,,,,(1) 6104900,,,,,,
830095213,,Fund. Terpél,,Bogotá,Mediana,15,Actividades de apoyo a la educacion,No vinculo solo referido,Marcela Montoya Ortiz,Jefe Nacional de Programas Educativos,Lucy,,,,,(1)2175353,marcela.montoya@terpel.com,,,,Entre 5.000 y 10.000 millones COP,
830095213,,Scotiabank Colpatria,,Bogotá,Grande,62,"contribuir con la generación de mayor dinamismo, al entonces incipiente mercado colombiano de la capitalización.",No vinculo solo referido,Maria Mercedez Ruiz,Directora de Relaciones Publicas,Lucy,,,(1)7561616,,,ruizm@colpatria.com,,,,,
830111367,5,Su Despensa,,Bogotá,Mediana,,,,Humberto Barragán,Propietario,,,,,,(1)4482515,,,,,,
830514070,3,Club de Ruitoque,,Santander,Pequeña,,,No vinculo solo referido,Luz Stella Gonzalez,Gerente,Ana Serrano,,312 4579466,6782793,117 y 141,313 4338710,mercadeo@ruitoquegolf.com,,,,Entre 5.000 y 10.000 millones COP,
860002120,,IBM,,Bogotá,pequeña,,Comercio al por mayor de computadores equipo periferico y programas de informatica,,,,,,,3901000,,,,,,,Entre 20.000 y 100.000 millones COP,
860002576,,GECOLSA,,Bogotá,Mediana,,,No vinculo solo referido,Tania Orjuela Saavedra,Gerente Gestion Humana,Lucy,,,,,,tania_orjuela@gecolsa.com.co,,,,,
860006333,5,Yara,Industrial,Bogotá,Grande,27,,No vinculo solo referido,Lina marcela quintero,Gerente Financiera,Nubia R.,,,,,1 7441470,lina.quintero@yara.com,,,,,
860007360,,Fund Maria Teresa,,Bogotá,Pequeña,,,,,,,,,2740318,,,,,,,,
860007698,,CORFO,,Bogotá,Pequeña,81,,,,,,,,5409121,,,,,,,,
860019021,,Asosiación Enseñanza,,Bogotá,Pequeña,,,,,,,,,6679500,,,,,,,,
860029396,8,GMAC,Financiero,Bogotá,Mediana,,,No vinculo solo referido,Diego Tamayo,,Nubia R.,,,,,,diego.tamayo@gmfinancial.com,,,,,
860074450,9,Gimnasio Iragua,Educación,Bogotá,Pequeña,,Familias como primer educador,No vinculo solo referido,Maria Lucia Algarra,Rectora,Nubia R.,,318 404 1891,,,317 500 7959,marialucia.algarra@iragua.edu.co,,,,,
860075558,1,Inalde,Educación,chia,Mediana,,Empresarios,Asistente evento,Alejandro Moreno Salamanca,Director General,Nubia R.,19/05/2020,,(1) 8614444,,(571) 862 4444,"alejandro.moreno@inalde.edu.co   inalde@inalde.edu.co
",,,,,
860075558,1,Inalde,Educación,chia,Mediana,,,Comprador articulo,Alejandro Moreno Salamanca,Director General,Nubia Rivera,,,8614444,,8619429,alejandro.moreno@inalde.edu.co,,,,,
860076173,2,Fund. Bolivar Davivienda,,Bogotá,Mediana,,Actividades de otras asociaciones n c p,No vinculo solo referido,Sandra Yance,Directora de Inversion Social,Lucy,,,,,(1)3410877,syance@fundacionbd.org,,,,Entre 20.000 y 100.000 millones COP,
860352858,2,Aricel S.A.S.,Ingenieria quimica/industrial,Bogotá,Pequeña,33,No definido,Comprador articulo,Marcela Hernández,Hija del Dueño,,18/12/2020,313 2244910,4276100,,(57-1) 427 6100,mhernandez@aricel.com,,,1.215.000.000,Entre 2.000 y 5.000 millones COP,
860402919,9,Sergio Gonzalez Ltda,,Bogotá,Pequeña,,,Proveedor,Sergio Gonzalez,Gerente,,,315 3411290,,,(1)2563412,sergo@sergoltda.com,,,,Entre 1.000 y 2.000 millones COP,
860500739,,Corp Promotora de Desarrollo,,Bogotá,Mediana,,,,,,,,,(1)6298971,,,,,,,Menor de 1.000 millones COP,
890111432,,Asosiación promotora de Cultura,,,Pequeña,,ASOCIACION PROMOTORA DE LA CULTURA EN EL CARIBE ASCARIBE,,,,,,,,,,,,,,Menor de 1.000 millones COP,
890204797,,Comertex S.A.,,Bogotá,Pequeña,,Adquirir Importar Fabricar Transformar Distribuir Y Vender Toda Clase De Productos Textiles Y Tela Aramida 100%,,Jorge Alberto Armel,Gerente,,,3176432033,,,571 5600100,jarmel@comertex.com.co,,,,Mayor de 100.000 millones COP,
890315655,,Corp. Formacion Mujerer,,Bogotá,pequeña,,Beneficia a mujeres,,,,,,,6610069,,,,,,,,
890900762,5,ANDI,Industrial,Bogotá,,,Empresarios,No vinculo solo referido,Ingrid Reyes,Directora Ejecutiva Cámara de gases industriales y medicinales,Nubia R.,,,,,(1) 3268500,ireyes@andi.com.co,,,,,
890900943,1,Alkosto,,Bogotá,Grande,,,No vinculo solo referido,,,Colaborarte,,,,,(031) 364 9734,,,,,Mayor de 100.000 millones COP,
890904478,6,Colanta,,Medellin,Grande,,,No vinculo solo referido,,,Colaborarte,,,,,(4)4455555;,,,,,Mayor de 100.000 millones COP,
890983756,,Asosiación Antioqueña Cultura,,Bogotá,pequeña,,Actividades de otras asociaciones n c p,,,,,,,3135405,,,,,,,Entre 2.000 y 5.000 millones COP,
900041914,7,Avon,,Bogotá,Grande,,,No vinculo solo referido,Gustavo Cruz,Vicepresidente,Padre Jorge Mario,1/07/2019,312 7708364,,,01 8000 941222,gustavoa.cruz@avon.com,,,,Mayor de 100.000 millones COP,
900073771,8,Escudero y Giraldo,,Bogotá,Pequeña,,,No vinculo solo referido,Juan Pablo Giraldo,,Padre Jorge Mario,,310 6975518,,,(1)3906693,juan.giraldo@escuderoygiraldo.com,,,,,
900102644,,Asosicación ISARAL,,Bogotá,pequeña,,Contribuyen con el proceso formativo de niños y niñas.,,,,,,,3337968,,,,,,,,
900126984,,Ventto LTDA.,,Bogotá,Pequeña,,,,,,,,,8052782,,,,,,,Menor de 1.000 millones COP,
900127140,4,Miguel Caballero,Manufactura,Bogotá,Pequeña,,No definido,No vinculo solo referido,Julio gonzalez,,Nubia R.,,,,,(318) 2393500,jgonzalez@miguelcaballero.com,,,,,
900134952,,Conjunto EL Cedro,,Bogotá,Pequeña,,,,,,,,,(1)8052782,,,,,,,,
900139423,,MF publicidad,,Bogotá,Pequeña,,Actividades de programacion y transmision de television,,,,,,,(1)2635881,,,,,,,Entre 2.000 y 5.000 millones COP,
900154184,2,Javier Hoyos Asesores,,Bogotá,Pequeña,,,No vinculo solo referido,Javier hoyos,Director,,,,212 21 34,,212 21 38,javierhoyos@gestionlegislativa.com,,,,Entre 1.000 y 2.000 millones COP,
900179564,,FUNDACION FAMOF,,Bogotá,Mediana,,Actividades de otras asociaciones n c p,,,,,,,8050966,,(1)7462890,,,,,Menor de 1.000 millones COP,
900215071,1,BANCAMIA,,Bogotá,Grande ,(+)11,Bancos comerciales,No vinculo solo referido,Juan Manuel Rincón,Vicepresidente Desarrollo del colaborador,Lucy,,,,,(1)3139300,juan.rincon@bancamia.com.co,,,,Mayor de 100.000 millones COP,
900371573,,CHEMIWORLD SAS,,Bogotá,Mediana,,Comercio al por mayor de productos quimicos basicos cauchos y plasticos en formas primarias y productos quimicos de uso agropecuario,,,,,,,7423556,,(1)3906418,,,,,Entre 10.000 y 20.000 millones COP,
900396495,,GRW SECURITIES SAS,,Bogotá,Mediana,,Actividades combinadas de apoyo a instalaciones,,,,,,,5875333,,(1)3928951,,,,,Menor de 1.000 millones COP,
900555597,,Colaborarte,,Bogotá,Mediana,,Actividades de otras asociaciones n c p,,,,,,3187436347,2558042,,,,,,,Menor de 1.000 millones COP,
900582166,5,Roniseg,Seguros,Bogotá,Pequeña,35,Juventus,Donante esporádico,Olga Nieto,Gerente,Acf,,310 2201883,(1) 3216246,,,nietolopezolga@hotmail.com,,,20000000,,
900582166,,Rodriguez Nieto Asesores,,Bogotá,pequeña,,Actividades de agentes y corredores de seguro,,,,,,,3215660,,,,,,,Menor de 1.000 millones COP,
900670360,5,Chemicals,,Bogotá,pequeña,21,,No vinculo solo referido,Clara Hernandez,Recursos Humanos,,,,5330101,102,(1) 4181842,chernandez@gtmchemicals.com,,,,,
900677644,,Rojas Asosicados ,,Bogotá,Pequeña,,Actividades de contabilidad teneduria de libros auditoria financiera y asesoria tributaria,,,,,,3045808259,3172862554,,,,,,,Menor de 1.000 millones COP,
900721514,,Asosicación Femenina,,Bogotá,pequeña,,Actividades de otras asociaciones n c p,,,,,,,8009914,,,,,,,Menor de 1.000 millones COP,
900764534,,Distrifrutas JALY,,Bogotá,Pequeña,,Comercio al por menor de productos agricolas para el consumo en establecimientos especializados,,,,,,,4110399,,(1)4970027,,,,,Entre 2.000 y 5.000 millones COP,
900769712,,MS Asesores,,Bogotá,Pequeña,,Actividades de contabilidad teneduria de libros auditoria financiera y asesoria tributaria,,,,,,,3102594884,,,,,,,Menor de 1.000 millones COP,
900787967,,Dicson Bogotá,,Bogotá,mediana,,Comercio al por mayor de otros tipos de maquinaria y equipo n c p,,,,,,,(1)3701686,,,,,,,Entre 2.000 y 5.000 millones COP,
900881368,,Carpenters SAS,,Bogotá,Pequeña,,Actividades de consultaria de gestion,,,,,,,3108366406,,,,,,,Menor de 1.000 millones COP,
900886617,,GE SAS,,Bogotá,Pequeña,,Otras actividades de servicio de apoyo a las empresas n c p,,,,,,3183559251,,,,,,,,Menor de 1.000 millones COP,
900890850,,KOKY NEAT SAS,,Bogotá,Mediana,,Actividades inmobiliarias realizadas con bienes propios o arrendados,,,,,,,3928951,,,,,,,Menor de 1.000 millones COP,
900914700,,LACONCORDE SAS,,Bogotá,Mediana,,Actividades inmobiliarias realizadas con bienes propios o arrendados,,,,,,,6194500,,(1)6194500,,,,,Menor de 1.000 millones COP,
901062385,,Parroquia Santa Maria,,Bogotá,Pequeña,,,,,,,,,3134675053,,,,,,,,
901075810,,INSIGNE CONSULTORES,,Chia,pequeña,,Actividades de consultaria de gestion,,,,,,,3107975165,,,,,,,Menor de 1.000 millones COP,
901240210,,Obra Creativa,,Bogotá,Pequeña,,Actividades de arquitectura e ingenieria y otras actividades conexas de consultoria tecnica,,,,,,,3507975104,,(2)3087003,,,,,,
8000586072,,Controles Empresariales,,Bogotá,Pequeña,,,,Rafael Tovar (Tor),Director,,,,546 2727,,(1)5462727,tiendavirtual@coem.co,,,,,
8001198698,,Multi-impacto,,Bogotá,Pequeña,,,Comprador servicio,Luz Aleida Lancheros Cano,Directora Comercial,,,310 4804943,2741430,,(1)9370533,aleida.lancheros@multi-impactos.com.co,,,,,
8001297891,,Hace Ingenieros,,Bogotá,Pequeña,,,Comprador articulo,Claudia Cuellar (Tor),Directora Administrativa,,,,4059509,,4059834,contabilidad2016@haceingenieros.com,,,,,
8300218949,,Sincosof,,Bogotá,Pequeña,,,,Juan Paulo Arango,Director,,,3176609603,4430820,517,5341000,,,,,,
8300701428,,ALFA,,Bogotá,Grande,,,No vinculo solo referido,Alicia Villaveces Davila,Vicepresidente Administrativa y de RH,Lucy,,,,,(1)6699044,alicia.villaveces@alfa.com.co,,,,,
8300846594,,Ciberc,telecomunicaciones,Bogotá,Mediana,20,No definido,Comprador articulo,Jesus Oyola,Director,Clara de Forero,,,7021194,,(1)6265265,www.cibercall.com,,,15000000000,Entre 1.000 y 2.000 millones COP,
8301403210,,HUAWEI,,Bogotá,Grande,,,No vinculo solo referido,William Castro Nova,Director de Canal,Lucy,,,,,(1)3768600,williamr.nova@huawei.com,,,,Menor de 1.000 millones COP,
8600015432,,MITSUBISHI COL.,,Bogotá,Grande ,,,No vinculo solo referido,Oscar Romero,Gerente Administrativo,Lucy,20/02/2020,,,,(1)7460010,oscar.romero@mitsubishicorp.com,,,,Entre 10.000 y 20.000 millones COP,
8600156850,,Universidad Gran Colombia,Educación,Bogotá,grande,,,No vinculo solo referido,Hector hugo tabares,Secretario General,Nubia R.,,,,,(1)3276999,director@juventudes.com.co,,,,,
8600190219,,Aspaen,Educación,Bogotá,Mediana,,Familias como primer educador,No vinculo solo referido,Armando Gomez Correa,Director Ejecutivo,Nubia Rivera,1/11/2019,,2177590,,(1)2177590,agomez@aspaen.edu.co,,,,,
8605054491,,Sovip,Seguridad,Bogotá,pequeña,30,Ninguno,Proveedor,Fernando Carrillo,Director General,Nubia R.,20/03/2020,,,,(1)5486819,gerentegeneral@sovipltda.com,,,,,
8605110431,,McALLISTER,,Bogotá,Grande ,,,No vinculo solo referido,Jose Roberto Matiz Filella,Gerente General,Lucy,,,,,(57-1) 6685066,jmatiz@emcallister.com,,,,,
9001394235,,mf publicidad,Publicidad Mercadeo,Bogotá,Pequeña,,,Comprador articulo,Maritza Florez,Gerente propietario,Nubia R.,19/12/2020,,1 2635881,,(1)2635881,maritzaf@mfpublicidadymedios.com.co,,,,Entre 2.000 y 5.000 millones COP,
9001823894,,Camara de Riesgo,Financiero,Bogotá,Mediana,13,"Apoyan a causas especificas de diversa indole, mas que todo enfocado a niñez",Comprador articulo,Susana Castaño,Directora comercial,Patricia Linares,8/09/2020,3214491480,3277000,,(1)3277000,scastano@camaraderiesgo.com.co,,,40366000000,Entre 1.000 y 2.000 millones COP,
9003206125,,SAP,Tecnología,Bogotá,Mediana,,Mujer Tecnologia,Voluntarios,Ana Milena Zambrano,?,Nubia R,15/09/2020,3118232241,(1)6003000,,01800 554 5272,,,,,,
9003345491,,Adgrafer,Publicidad Mercadeo,Bogotá,pequeña,,,Miembro de Junta,Mauricio Gómez,Gerente propietario,Nubia R.,20/07/2020,,,,(1)8053765,mauricio.gomez@adgrafer.com,,,,,
9004205140,,Fund. Colombo Japonesa,,Bogotá,Mediana,25,,No vinculo solo referido,Ninfer Betancur,Directora Fundacion,Lucy,,,(571)7261823,,(1)3583343,fundacion@colombojaponesa.com,,,,Menor de 1.000 millones COP,
9006004937,,Tybso SAS,Manufactura,Bogotá,Pequeña,25,No definido,Donante esporádico,Ximena Gonzalez (Sp Tor),Contacto Intermediaria,Ximena Gonzalez,,3164728661,6725668,,6050135,mercadeo@tybso.com,,,445000000,Entre 1.000 y 2.000 millones COP,* encontre el balance o estado de resultados
9006511591,,Tribucorp,,chia,Pequeña,20,,Proveedor,Adriana Numpaque,Representante Legal,,,,,,,gerencia@tribucorp.com,,,,,
9007645344,,Distrifrutas JALY,Alimentos,Bogotá,Pequeña,,No definido,Comprador articulo,Janeth Bohorquez - Giovanny Campos,,,,315 3340624,(1)4970027,,1 4110399,,,,,Entre 2.000 y 5.000 millones COP,
9010306489,,NEMET S.A.C,,,Pequeña,,,,,,,,,,,,,,,,Menor de 1.000 millones COP,
​900211167,1,Huevos Santa Anita,,Bogotá,Pequeña,,,No vinculo solo referido,,,Colaborarte,,,,,877 3595,,,,,,
,,Musikids,,Mexico,Pequeña,,,No vinculo solo referido,Jairo León,,Nubia,,,,,(33) 1201 9070 / 71,contacto@musikids.mx,,,,,
,,Micherlarte,Restaurantes & bares,,Pequeña,,Mujer,Asistente evento,Andres correal,Gerente propietario,Nubia R.,20/03/2020,,,,,acorreal@hotmail.com,,,,,
